candidate_id,rank,score,reasoning
CAND_0077337,1,0.475,"7.0 yrs exp. Strong match in pinecone, rag, qdrant. Product background. Engagement rate: 95%."
CAND_0010603,2,0.47,"5.3 yrs exp. Strong match in opensearch, deep learning, machine learning. Product background. Engagement rate: 94%."
CAND_0030031,3,0.47,"5.7 yrs exp. Strong match in pytorch, python, rag. Product background. Engagement rate: 94%."
CAND_0061265,4,0.47,"6.6 yrs exp. Strong match in qdrant, milvus, sentence-transformers. Product background. Engagement rate: 94%."
CAND_0064326,5,0.47,"7.6 yrs exp. Strong match in pytorch, milvus, deep learning. Product background. Engagement rate: 94%."
CAND_0006418,6,0.46,"5.7 yrs exp. Strong match in weaviate, elasticsearch, qdrant. Product background. Engagement rate: 92%."
CAND_0043637,7,0.46,"5.5 yrs exp. Strong match in pytorch, milvus, python. Product background. Engagement rate: 92%."
CAND_0057736,8,0.46,"6.2 yrs exp. Strong match in weaviate, qdrant, python. Product background. Engagement rate: 92%."
CAND_0073883,9,0.46,"5.3 yrs exp. Strong match in deep learning, python, opensearch. Product background. Engagement rate: 92%."
CAND_0090300,10,0.4559,"5.3 yrs exp. Strong match in machine learning, milvus, python. Product background. Engagement rate: 94%."
CAND_0000031,11,0.455,"6.0 yrs exp. Strong match in faiss, pinecone, machine learning. Product background. Engagement rate: 91%."
CAND_0079064,12,0.455,"5.2 yrs exp. Strong match in opensearch, pinecone, sentence-transformers. Product background. Engagement rate: 91%."
CAND_0081686,13,0.455,"6.0 yrs exp. Strong match in machine learning, faiss, milvus. Product background. Engagement rate: 91%."
CAND_0028527,14,0.45,"5.4 yrs exp. Strong match in qdrant, pytorch, python. Product background. Engagement rate: 90%."
CAND_0036184,15,0.45,"6.0 yrs exp. Strong match in faiss, pinecone, pytorch. Product background. Engagement rate: 90%."
CAND_0086154,16,0.45,"6.8 yrs exp. Strong match in opensearch, machine learning, qdrant. Product background. Engagement rate: 90%."
CAND_0008295,17,0.445,"6.5 yrs exp. Strong match in python, weaviate, llm. Product background. Engagement rate: 89%."
CAND_0011687,18,0.445,"7.8 yrs exp. Strong match in opensearch, faiss, weaviate. Product background. Engagement rate: 89%."
CAND_0077498,19,0.445,"5.4 yrs exp. Strong match in elasticsearch, milvus, python. Product background. Engagement rate: 89%."
CAND_0054546,20,0.4416,"4.9 yrs exp. Strong match in qdrant, python, llm. Product background. Engagement rate: 92%."
CAND_0046525,21,0.44,"6.1 yrs exp. Strong match in elasticsearch, machine learning, qdrant. Product background. Engagement rate: 88%."
CAND_0052682,22,0.44,"6.6 yrs exp. Strong match in faiss, pytorch, python. Product background. Engagement rate: 88%."
CAND_0077956,23,0.44,"6.4 yrs exp. Strong match in milvus, weaviate, deep learning. Product background. Engagement rate: 88%."
CAND_0093763,24,0.4379,"5.0 yrs exp. Strong match in faiss, pytorch, python. Product background. Engagement rate: 92%."
CAND_0074225,25,0.4368,"4.3 yrs exp. Strong match in elasticsearch, milvus, python. Product background. Engagement rate: 91%."
CAND_0078042,26,0.4368,"4.7 yrs exp. Strong match in opensearch, pytorch, pinecone. Product background. Engagement rate: 91%."
CAND_0025640,27,0.435,"5.6 yrs exp. Strong match in faiss, pytorch, opensearch. Product background. Engagement rate: 87%."
CAND_0042100,28,0.435,"7.3 yrs exp. Strong match in elasticsearch, pinecone, pytorch. Product background. Engagement rate: 87%."
CAND_0055905,29,0.435,"8.1 yrs exp. Strong match in elasticsearch, python, opensearch. Product background. Engagement rate: 87%."
CAND_0072688,30,0.435,"6.9 yrs exp. Strong match in milvus, deep learning, qdrant. Product background. Engagement rate: 87%."
CAND_0091039,31,0.435,"6.8 yrs exp. Strong match in faiss, rag, python. Product background. Engagement rate: 87%."
CAND_0098454,32,0.435,"6.6 yrs exp. Strong match in opensearch, pinecone, weaviate. Product background. Engagement rate: 87%."
CAND_0030784,33,0.432,"4.4 yrs exp. Strong match in rag, pinecone, python. Product background. Engagement rate: 90%."
CAND_0061339,34,0.432,"4.2 yrs exp. Strong match in milvus, opensearch, machine learning. Product background. Engagement rate: 90%."
CAND_0068040,35,0.432,"4.1 yrs exp. Strong match in milvus, python, llm. Product background. Engagement rate: 90%."
CAND_0005260,36,0.43,"5.2 yrs exp. Strong match in deep learning, python, rag. Product background. Engagement rate: 86%."
CAND_0022127,37,0.43,"5.5 yrs exp. Strong match in elasticsearch, machine learning, qdrant. Product background. Engagement rate: 86%."
CAND_0022852,38,0.43,"5.4 yrs exp. Strong match in pinecone, python, llm. Product background. Engagement rate: 86%."
CAND_0060054,39,0.43,"6.4 yrs exp. Strong match in weaviate, faiss, elasticsearch. Product background. Engagement rate: 86%."
CAND_0068351,40,0.43,"6.4 yrs exp. Strong match in deep learning, qdrant, elasticsearch. Product background. Engagement rate: 86%."
CAND_0076482,41,0.43,"6.6 yrs exp. Strong match in opensearch, pinecone, rag. Product background. Engagement rate: 86%."
CAND_0016659,42,0.4272,"4.4 yrs exp. Strong match in pinecone, faiss, weaviate. Product background. Engagement rate: 89%."
CAND_0065786,43,0.4272,"4.9 yrs exp. Strong match in pinecone, qdrant, python. Product background. Engagement rate: 89%."
CAND_0068985,44,0.4268,"5.2 yrs exp. Strong match in machine learning, qdrant, opensearch. Product background. Engagement rate: 88%."
CAND_0007052,45,0.425,"6.5 yrs exp. Strong match in rag, deep learning, weaviate. Product background. Engagement rate: 85%."
CAND_0052431,46,0.425,"5.3 yrs exp. Strong match in milvus, python, llm. Product background. Engagement rate: 85%."
CAND_0081480,47,0.425,"5.6 yrs exp. Strong match in pytorch, faiss, python. Product background. Engagement rate: 85%."
CAND_0082086,48,0.425,"6.0 yrs exp. Strong match in faiss, pinecone, pytorch. Product background. Engagement rate: 85%."
CAND_0083852,49,0.425,"6.0 yrs exp. Strong match in qdrant, pinecone, pytorch. Product background. Engagement rate: 85%."
CAND_0020991,50,0.4224,"4.9 yrs exp. Strong match in python, weaviate, opensearch. Product background. Engagement rate: 88%."
CAND_0051615,51,0.4224,"4.6 yrs exp. Strong match in rag, milvus, machine learning. Product background. Engagement rate: 88%."
CAND_0061655,52,0.4224,"4.6 yrs exp. Strong match in pinecone, machine learning, pytorch. Product background. Engagement rate: 88%."
CAND_0099965,53,0.4224,"4.6 yrs exp. Strong match in opensearch, deep learning, python. Product background. Engagement rate: 88%."
CAND_0064256,54,0.4223,"6.4 yrs exp. Strong match in pytorch, python, llm. Product background. Engagement rate: 86%."
CAND_0001056,55,0.42,"5.1 yrs exp. Strong match in pinecone, opensearch, python. Product background. Engagement rate: 84%."
CAND_0024147,56,0.42,"5.9 yrs exp. Strong match in qdrant, opensearch, python. Product background. Engagement rate: 84%."
CAND_0025923,57,0.42,"5.0 yrs exp. Strong match in qdrant, rag, pinecone. Product background. Engagement rate: 84%."
CAND_0033179,58,0.42,"6.9 yrs exp. Strong match in opensearch, pytorch, python. Product background. Engagement rate: 84%."
CAND_0044883,59,0.42,"6.3 yrs exp. Strong match in deep learning, pytorch, sentence-transformers. Product background. Engagement rate: 84%."
CAND_0073314,60,0.42,"5.2 yrs exp. Strong match in milvus, elasticsearch, pytorch. Product background. Engagement rate: 84%."
CAND_0076163,61,0.42,"6.9 yrs exp. Strong match in weaviate, pytorch, python. Product background. Engagement rate: 84%."
CAND_0096142,62,0.42,"5.0 yrs exp. Strong match in weaviate, pinecone, python. Product background. Engagement rate: 84%."
CAND_0098217,63,0.42,"6.4 yrs exp. Strong match in faiss, pinecone, machine learning. Product background. Engagement rate: 84%."
CAND_0094482,64,0.4199,"6.4 yrs exp. Strong match in opensearch, pytorch, python. Product background. Engagement rate: 85%."
CAND_0073204,65,0.4185,"3.4 yrs exp. Strong match in weaviate, pinecone, rag. Product background. Engagement rate: 93%."
CAND_0001940,66,0.4176,"4.3 yrs exp. Strong match in pytorch, elasticsearch, faiss. Product background. Engagement rate: 87%."
CAND_0036437,67,0.4176,"4.8 yrs exp. Strong match in opensearch, elasticsearch, milvus. Product background. Engagement rate: 87%."
CAND_0054123,68,0.4176,"4.7 yrs exp. Strong match in python, weaviate, qdrant. Product background. Engagement rate: 87%."
CAND_0089444,69,0.4171,"4.5 yrs exp. Strong match in opensearch, pinecone, python. Product background. Engagement rate: 88%."
CAND_0004402,70,0.415,"6.0 yrs exp. Strong match in opensearch, pytorch, qdrant. Product background. Engagement rate: 83%."
CAND_0010685,71,0.415,"6.7 yrs exp. Strong match in deep learning, pytorch, elasticsearch. Product background. Engagement rate: 83%."
CAND_0024990,72,0.415,"5.2 yrs exp. Strong match in opensearch, milvus, elasticsearch. Product background. Engagement rate: 83%."
CAND_0057563,73,0.415,"6.8 yrs exp. Strong match in deep learning, rag, elasticsearch. Product background. Engagement rate: 83%."
CAND_0073007,74,0.415,"5.8 yrs exp. Strong match in milvus, pytorch, faiss. Product background. Engagement rate: 83%."
CAND_0077067,75,0.415,"5.4 yrs exp. Strong match in python, pinecone, elasticsearch. Product background. Engagement rate: 83%."
CAND_0081053,76,0.415,"5.4 yrs exp. Strong match in qdrant, machine learning, weaviate. Product background. Engagement rate: 83%."
CAND_0088025,77,0.415,"8.6 yrs exp. Strong match in pinecone, rag, elasticsearch. Product background. Engagement rate: 83%."
CAND_0007596,78,0.4128,"4.4 yrs exp. Strong match in machine learning, python, weaviate. Product background. Engagement rate: 86%."
CAND_0074317,79,0.4128,"4.2 yrs exp. Strong match in milvus, rag, pinecone. Product background. Engagement rate: 86%."
CAND_0082314,80,0.4128,"4.0 yrs exp. Strong match in deep learning, pytorch, milvus. Product background. Engagement rate: 86%."
CAND_0015563,81,0.4123,"6.4 yrs exp. Strong match in milvus, qdrant, rag. Product background. Engagement rate: 85%."
CAND_0070525,82,0.412,"5.4 yrs exp. Strong match in python, llm, machine learning. Product background. Engagement rate: 93%."
CAND_0000082,83,0.41,"7.4 yrs exp. Strong match in pinecone, faiss, python. Product background. Engagement rate: 82%."
CAND_0001218,84,0.41,"6.4 yrs exp. Strong match in opensearch, rag, python. Product background. Engagement rate: 82%."
CAND_0010149,85,0.41,"6.9 yrs exp. Strong match in milvus, elasticsearch, python. Product background. Engagement rate: 82%."
CAND_0026716,86,0.41,"5.6 yrs exp. Strong match in weaviate, pinecone, deep learning. Product background. Engagement rate: 82%."
CAND_0031752,87,0.41,"5.0 yrs exp. Strong match in weaviate, python, qdrant. Product background. Engagement rate: 82%."
CAND_0063862,88,0.41,"5.3 yrs exp. Strong match in opensearch, pytorch, milvus. Product background. Engagement rate: 82%."
CAND_0068932,89,0.41,"5.2 yrs exp. Strong match in milvus, rag, opensearch. Product background. Engagement rate: 82%."
CAND_0075249,90,0.41,"6.2 yrs exp. Strong match in milvus, machine learning, pinecone. Product background. Engagement rate: 82%."
CAND_0094056,91,0.41,"5.9 yrs exp. Strong match in pinecone, milvus, machine learning. Product background. Engagement rate: 82%."
CAND_0033350,92,0.4097,"6.2 yrs exp. Strong match in opensearch, python, llm. Product background. Engagement rate: 85%."
CAND_0061257,93,0.4089,"8.0 yrs exp. Strong match in machine learning, python, evaluation. Product background. Engagement rate: 87%."
CAND_0011643,94,0.408,"4.2 yrs exp. Strong match in pinecone, faiss, python. Product background. Engagement rate: 85%."
CAND_0015057,95,0.408,"4.6 yrs exp. Strong match in qdrant, python, llm. Product background. Engagement rate: 85%."
CAND_0067609,96,0.408,"4.5 yrs exp. Strong match in qdrant, python, llm. Product background. Engagement rate: 85%."
CAND_0071913,97,0.408,"4.0 yrs exp. Strong match in qdrant, python, llm. Product background. Engagement rate: 85%."
CAND_0065139,98,0.4051,"5.2 yrs exp. Strong match in rag, pytorch, python. Product background. Engagement rate: 82%."
CAND_0005538,99,0.405,"5.9 yrs exp. Strong match in deep learning, python, pytorch. Product background. Engagement rate: 81%."
CAND_0012837,100,0.405,"6.4 yrs exp. Strong match in weaviate, python, llm. Product background. Engagement rate: 81%."
